Name,elevation,location,slug,size
Twin Lakes (upper),8906,"38.1365, -119.6569",twin-lakes-upper,56.44
Upper Branigan Lake,7525,"38.0394, -119.6721",upper-branigan-lake,5.06
Upper McCabe Lake,10462,"37.9961, -119.3229",upper-mccabe-lake,64.5
Upper Merced Pass Lake,8960,"37.6243, -119.4420",upper-merced-pass-lake,2.53
Upper Ottoway Lake,10406,"37.6413, -119.4040",upper-ottoway-lake,15.73
Upper Peninsula Lake,9092,"38.1008, -119.6798",upper-peninsula-lake,12.18
Virginia Lake,9235,"37.9618, -119.4273",virginia-lake,30.8
Vogelsang Lake,10324,"37.7868, -119.3434",vogelsang-lake,19.95
Washburn Lake,7605,"37.7151, -119.3719",washburn-lake,52.6
Wegner Lake,9205,"37.8415, -119.5364",wegner-lake,7.04
Wilma Lake,7946,"38.0710, -119.6415",wilma-lake,25.13
Windy Lake,8489,"37.6127, -119.5119",windy-lake,3.8
Young Lakes (lower),9905,"37.9360, -119.3466",young-lakes-lower,26.88
Young Lakes (middle),9993,"37.9373, -119.3396",young-lakes-middle,5.61
Young Lakes (upper),10220,"37.9356, -119.3330",young-lakes-upper,23.24
